City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
373,Gornoye Loo,RU,77.0,clear sky,43.71,39.6,«ВатерЛоо» гостиница
376,Portmore,JM,89.6,few clouds,17.97,-76.87,Salmon Way Inn
378,Golkoy,TR,77.0,broken clouds,40.69,37.62,memişoğulları
381,Ifakara,TZ,78.13,clear sky,-8.13,36.68,Tanzanian Training Centre for International Health
382,Thinadhoo,MV,82.74,light rain,0.53,72.93,
383,Oistins,BB,87.8,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
385,Pitimbu,BR,84.2,few clouds,-7.47,-34.81,Reserva do Abiaí
389,Garowe,SO,87.46,broken clouds,8.41,48.48,Curubo Hotel
391,Horta,PT,80.6,scattered clouds,38.53,-28.63,Hotel do Canal | Horta - Faial
392,Easton,US,75.99,broken clouds,40.69,-75.22,Grand Eastonian Hotel & Suites
393,Talaja,IN,77.34,overcast clouds,21.35,72.05,Velvettas Resorts
394,Hangu,CN,75.2,clear sky,39.25,117.79,Chongli Xuexiang Family Express Inn
396,Malyye Derbety,RU,75.16,clear sky,47.95,44.68,
397,Angoche,MZ,76.15,clear sky,-16.23,39.91,Guest House HESADA
398,Tutoia,BR,87.82,clear sky,-2.76,-42.27,Pousada Guará's
400,Matara,LK,80.4,overcast clouds,5.95,80.54,Amaloh Boutique Resort
404,Isabela,PH,78.91,broken clouds,6.71,121.97,Isawad Resort
408,Mayor Pablo Lagerenza,PY,87.91,few clouds,-19.93,-60.77,
409,Burhanpur,IN,75.13,clear sky,21.3,76.23,Vastushilp Guest House
414,Lupiro,TZ,77.83,clear sky,-8.38,36.67,AFRICAN JACCANA EXECUTIVE LODGE
416,Ankpa,NG,78.01,moderate rain,7.37,7.63,AA Suites
417,Rock Sound,BS,83.77,broken clouds,24.9,-76.2,Rock Sound Club
418,San Felipe,VE,85.53,light rain,10.34,-68.74,Posada Llovizna Rodríguez
422,Mahibadhoo,MV,83.79,few clouds,3.78,72.97,Omadhoo Inn
428,Biograd Na Moru,HR,81.0,light rain,43.94,15.45,Hotel Palma
429,Sulmona,IT,84.0,light rain,42.05,13.93,Hotel Santacroce
431,Omboue,GA,75.85,broken clouds,-1.57,9.26,Hotel Olako
433,Muisne,EC,84.2,scattered clouds,0.6,-80.03,Quinta Samay
434,Guarapari,BR,81.0,clear sky,-20.67,-40.5,Hotel Porto do Sol
438,Ajdabiya,LY,85.66,clear sky,30.76,20.23,فندق التوجان
440,Largo,US,90.0,scattered clouds,27.91,-82.79,Hampton Inn & Suites Largo
443,Liptovsky Hradok,SK,78.01,few clouds,49.04,19.72,Penzión Kristián
447,Morondava,MG,75.65,clear sky,-20.28,44.28,La Case Bambou
448,Cockburn Town,TC,86.0,scattered clouds,21.46,-71.14,Osprey Beach Hotel
449,Bangui,CF,82.4,scattered clouds,4.36,18.55,SAM HOTEL
450,Senaki,GE,75.2,clear sky,42.27,42.07,Maria Hotel
453,Ewing,US,77.0,broken clouds,40.27,-74.8,Element Ewing Princeton
455,Hamilton,US,79.0,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
457,Hadejia,NG,80.98,overcast clouds,12.45,10.04,Access
458,Bathsheba,BB,87.8,scattered clouds,13.22,-59.52,Atlantis Hotel
459,Kursavka,RU,77.0,clear sky,44.46,42.51,Fortuna
460,Caraballeda,VE,77.0,light rain,10.61,-66.85,Hotel 15 Letras
464,Nara,JP,84.0,scattered clouds,34.69,135.8,Guesthouse Nara Komachi
465,Nouadhibou,MR,80.6,sand,20.93,-17.03,El Medina
466,Bam,IR,80.94,clear sky,29.11,58.36,Bam Tourist Hotel
467,Kutina,HR,84.2,broken clouds,45.48,16.78,Hotel Kutina Hotel
468,Dabakala,CI,79.48,light rain,8.37,-4.43,Hôtel Campement
470,Oranjestad,AW,87.8,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
472,Olhao,PT,75.2,clear sky,37.03,-7.84,Zenit Guest House
475,Tabas,IR,87.8,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
476,Porto Novo,BJ,78.73,overcast clouds,6.5,2.6,Tour Eiffel Hotel Benin
477,Teguise,ES,78.8,few clouds,29.06,-13.56,B&B La Casona de Nazaret
479,Zaria,NG,78.1,light rain,11.11,7.72,A.B.U Hotels
481,Kongolo,CD,80.4,moderate rain,-5.38,27.0,Hôtel Bouger Faire Bouger Rj Kanierra
482,Buchanan,LR,78.8,light intensity drizzle,5.88,-10.05,Kamaneahn Hotel Inc
483,Laje,BR,87.49,broken clouds,-10.18,-40.97,Pousada Centro
485,Funadhoo,MV,83.53,scattered clouds,6.15,73.27,Dhaffalhu Tourist Lodge
488,Batanovci,BG,87.8,clear sky,42.6,22.95,Sani Family Hotel
489,Baijiantan,CN,76.5,clear sky,45.63,85.18,
490,The Valley,AI,87.8,haze,18.22,-63.06,CeBlue Villas & Beach Resort
493,Marsh Harbour,BS,86.07,overcast clouds,26.54,-77.06,Abaco Beach Resort
494,Tighina,MD,86.0,clear sky,46.83,29.47,Солнце
496,Dosso,NE,84.18,overcast clouds,13.05,3.19,Hotel Toubal
501,Coruche,PT,84.99,clear sky,38.96,-8.53,Luxury villa nearby Alentejo
508,Rabo De Peixe,PT,77.0,scattered clouds,37.8,-25.58,Quinta das Giestas
509,Seminole,US,86.0,moderate rain,28.71,-81.21,WHITNEY-WOLCOTT HOUSE ON LAKE CHARM
510,Kati,ML,86.0,broken clouds,12.74,-8.07,AUBERGE DIATIGUIYA
512,Zurrieq,MT,84.0,few clouds,35.83,14.47,Ta' Bertu Host Family Bed & Breakfast
515,Acarau,BR,88.59,broken clouds,-2.89,-40.12,castelo pizzaria
517,Gorom-Gorom,BF,89.55,overcast clouds,14.44,-0.24,Mairie de Rambo
518,Igdir,TR,80.6,clear sky,39.92,44.05,Igdir Central Hotel Emperor Hotel
519,Alba,PL,77.22,clear sky,52.03,23.12,Hotel Osjann
520,Terme,TR,75.2,clear sky,41.21,36.97,OTEL GÜVEN TERME
522,Burla,IN,79.18,few clouds,21.5,83.87,Gents Hostel 2(ଭୃଗୁ)
525,Moyale,KE,76.75,few clouds,3.52,39.06,Latahzan guest house
526,Srivardhan,IN,79.29,moderate rain,18.03,73.02,Savli Resort/Hotel - Shrivardhan
527,Lleida,ES,77.0,clear sky,41.62,0.62,Hotel Ramon Berenguer IV
531,Dankov,RU,78.8,clear sky,53.25,39.16,Hotel Basilik Dankov
534,Ungheni,MD,88.0,clear sky,47.2,27.8,Apartament
535,Conde,BR,84.2,few clouds,-7.26,-34.91,Pousada Beija Flor
536,Barra Patuca,HN,87.15,few clouds,15.8,-84.28,
539,Boa Vista,BR,86.0,shower rain,2.82,-60.67,Aipana Plaza Hotel
541,Mindelo,CV,87.8,broken clouds,16.89,-24.98,Hotel Gaudi
543,Koungheul,SN,86.49,light rain,13.98,-14.8,
550,Nurota,UZ,75.2,clear sky,40.56,65.69,Guest House Ruslan Nurata & Tours
552,Lodja,CD,75.74,moderate rain,-3.48,23.43,
553,Lenger,KZ,78.8,clear sky,42.18,69.88,Gostevoy Dom 1
554,Hobyo,SO,78.26,clear sky,5.35,48.53,Osmani Hotel
557,Kilindoni,TZ,76.68,clear sky,-7.91,39.67,Bustani B&B
558,Daoukro,CI,82.58,broken clouds,7.06,-3.96,Komenan brou roseline
