City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Severnyy,RU,50.68,36.55,80.6,30,0,4.47,clear sky
153,Opuwo,NA,-18.06,13.84,70.09,20,1,8.14,clear sky
154,Vila Velha,BR,-20.33,-40.29,81.0,88,40,9.17,scattered clouds
155,Reidsville,US,36.35,-79.66,82.99,51,1,6.93,haze
156,Shakawe,BW,-18.37,21.85,74.39,20,0,6.11,clear sky
157,Ponta Do Sol,PT,32.67,-17.1,77.0,53,20,19.46,few clouds
158,Santa Cecilia,BR,-26.96,-50.43,81.19,36,0,2.73,clear sky
159,Paita,PE,-5.09,-81.11,68.2,69,92,12.77,overcast clouds
160,Belmonte,BR,-15.86,-38.88,78.8,74,40,16.11,scattered clouds
161,Baoro,CF,5.67,15.97,71.46,87,65,2.24,broken clouds
162,Lobito,AO,-12.35,13.55,69.58,78,3,6.06,clear sky
163,Rorvik,NO,64.86,11.24,51.8,71,40,11.41,scattered clouds
164,Klaksvik,FO,62.23,-6.59,51.8,93,95,9.17,overcast clouds
165,Zonguldak,TR,41.25,31.83,69.57,59,0,1.59,clear sky
166,Ngerengere,TZ,-6.75,38.12,80.6,51,20,9.17,few clouds
167,Maceio,BR,-9.67,-35.74,82.4,58,75,6.93,broken clouds
168,Alvand,IR,36.32,49.17,54.03,91,3,6.6,clear sky
169,San Isidro,PE,-12.12,-77.05,62.6,82,90,3.36,overcast clouds
170,Kulhudhuffushi,MV,6.62,73.07,83.59,73,44,8.43,scattered clouds
171,Moramanga,MG,-18.93,48.2,56.59,96,38,2.17,scattered clouds
172,Kutum,SD,14.2,24.67,80.92,50,48,4.25,scattered clouds
173,Mahebourg,MU,-20.41,57.7,71.6,83,75,13.87,light intensity shower rain
174,Nantucket,US,41.28,-70.1,75.2,53,1,21.92,clear sky
175,Maldonado,UY,-34.67,-54.92,50.0,57,75,9.17,broken clouds
176,Mongoumba,CF,3.64,18.59,72.82,88,97,0.51,overcast clouds
177,Sept-Iles,CA,50.2,-66.38,50.0,93,90,10.29,light rain
178,Soyo,AO,-6.13,12.37,72.52,81,51,9.51,broken clouds
179,Aksu,CN,41.12,80.26,74.79,34,42,4.76,scattered clouds
180,Bull Savanna,JM,17.89,-77.59,84.38,70,14,6.08,light rain
181,Geraldton,AU,-28.77,114.6,44.6,87,0,4.7,clear sky
182,Bonfim,BR,3.08,-59.95,84.97,67,100,7.07,light rain
183,Tamboril,DO,19.49,-70.61,89.6,62,40,9.17,scattered clouds
184,San Andres,CO,12.58,-81.7,87.8,74,20,10.29,few clouds
185,Bereznik,RU,62.86,42.71,50.22,92,70,4.07,broken clouds
186,El Alto,PE,-4.27,-81.21,67.98,72,75,13.38,broken clouds
187,Codrington,AU,-38.27,141.97,47.57,70,57,13.0,broken clouds
188,Hammerfest,NO,70.66,23.68,48.2,66,40,19.46,scattered clouds
189,Brumadinho,BR,-20.14,-44.2,87.8,27,20,4.7,few clouds
190,Taltal,CL,-25.4,-70.48,60.03,61,35,5.57,scattered clouds
191,Khanino,RU,54.21,36.62,75.2,64,0,6.71,clear sky
192,Naryan-Mar,RU,67.67,53.09,50.04,96,100,10.11,light rain
193,Meyzieu,FR,45.77,5.0,68.0,45,85,11.41,light rain
194,Quthing,LS,-30.4,27.7,40.84,54,0,2.42,clear sky
195,Podor,MR,16.65,-14.96,98.6,47,42,2.24,scattered clouds
196,Kabelvag,NO,68.21,14.48,48.2,66,40,6.93,shower rain
197,Filingue,NE,14.35,3.32,89.02,48,100,0.69,overcast clouds
198,Jalu,LY,29.03,21.55,94.48,16,0,9.53,clear sky
199,Ouesso,CG,1.61,16.05,75.99,80,92,1.83,overcast clouds
200,Beremend,HU,45.79,18.43,91.4,40,41,6.93,scattered clouds
201,Stephanskirchen,DE,47.86,12.15,57.99,77,94,1.99,overcast clouds
202,Zhezkazgan,KZ,47.8,67.71,71.6,28,0,11.18,clear sky
203,Altamira,BR,-3.2,-52.21,89.6,59,75,6.93,broken clouds
204,Los Llanos De Aridane,ES,28.66,-17.92,73.4,73,75,12.75,broken clouds
205,Calvinia,ZA,-31.47,19.78,42.71,61,0,5.7,clear sky
206,Gao,ML,16.64,1.64,89.08,47,94,4.81,overcast clouds
207,Bereda,ES,43.27,-7.54,64.0,57,13,14.0,few clouds
208,Belyy Yar,RU,53.6,91.39,53.6,93,28,2.06,light rain
209,Yar-Sale,RU,66.83,70.83,39.4,88,38,8.23,scattered clouds
210,Sharjah,AE,25.36,55.4,102.2,27,18,2.24,few clouds
211,Khandbari,NP,27.37,87.2,74.01,75,64,1.19,light rain
212,Raudeberg,NO,61.99,5.14,57.2,58,0,17.22,clear sky
213,San Miguel,SV,13.48,-88.18,87.8,74,4,2.89,clear sky
214,Saint Anthony,US,45.02,-93.22,75.0,53,1,11.41,clear sky
215,Sorland,NO,67.67,12.69,48.2,66,40,8.05,scattered clouds
216,Walvis Bay,NA,-22.96,14.51,73.4,23,0,20.8,sand
217,Rio Do Sul,BR,-27.21,-49.64,82.99,72,0,5.99,clear sky
218,Buraydah,SA,26.33,43.98,100.4,16,0,11.41,clear sky
219,Chlorakas,CY,34.8,32.41,86.0,55,0,11.41,clear sky
220,Brae,GB,60.4,-1.35,55.4,66,40,10.29,scattered clouds
221,Bandarbeyla,SO,9.49,50.81,77.13,80,93,31.07,overcast clouds
222,Valparaiso,CL,-33.04,-71.63,60.8,55,0,9.17,clear sky
223,Porto Velho,BR,-8.76,-63.9,91.4,52,40,4.7,scattered clouds
