City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,The Valley,18.22,-63.06,82.99,78,20,16.11,AI,2020-08-30 08:51:28
203,Chipata,-13.63,32.65,90.28,16,0,5.32,ZM,2020-08-30 08:51:28
204,Santander,43.46,-3.8,62.01,82,75,10.29,ES,2020-08-30 08:51:29
205,Tutoia,-2.76,-42.27,78.01,72,44,16.49,BR,2020-08-30 08:51:29
206,Stokmarknes,68.56,14.91,48.2,61,40,6.93,NO,2020-08-30 08:51:29
207,Malakal,9.53,31.66,85.3,67,80,2.93,SS,2020-08-30 08:51:29
208,Santa Maria,-29.68,-53.81,57.81,94,95,11.23,BR,2020-08-30 08:51:29
209,La Union,-5.4,-80.75,62.78,80,91,8.52,PE,2020-08-30 08:51:30
210,Segezha,63.74,34.32,56.1,57,100,1.88,RU,2020-08-30 08:51:30
211,Bosaso,11.28,49.18,100.4,37,71,19.46,SO,2020-08-30 08:51:30
212,Bathsheba,13.22,-59.52,80.6,88,40,18.34,BB,2020-08-30 08:51:30
213,Caravelas,-17.71,-39.25,70.65,93,53,4.14,BR,2020-08-30 08:51:31
214,Ponta Delgada,37.73,-25.67,73.4,83,40,3.36,PT,2020-08-30 08:51:31
215,Coihaique,-45.58,-72.07,42.8,83,40,8.05,CL,2020-08-30 08:51:31
216,Harper,4.38,-7.72,76.01,84,98,10.83,LR,2020-08-30 08:51:31
217,Morondava,-20.28,44.28,80.19,70,9,7.63,MG,2020-08-30 08:51:31
218,Wajir,1.75,40.06,82.4,58,75,2.24,KE,2020-08-30 08:51:32
219,Sedhiou,12.71,-15.56,78.24,90,72,4.81,SN,2020-08-30 08:51:32
220,Yar-Sale,66.83,70.83,54.07,48,0,6.42,RU,2020-08-30 08:51:32
221,Nampula,-15.12,39.27,80.6,57,20,11.41,MZ,2020-08-30 08:51:32
222,Pangody,65.85,74.49,55.69,49,73,7.67,RU,2020-08-30 08:51:32
223,Ensley,30.52,-87.27,82.99,88,1,5.82,US,2020-08-30 08:51:33
224,Saldanha,-33.01,17.94,48.2,76,39,1.12,ZA,2020-08-30 08:51:33
225,Gaoua,10.3,-3.25,74.19,86,100,9.6,BF,2020-08-30 08:51:33
226,Marigot,18.07,-63.08,82.99,78,20,16.11,MF,2020-08-30 08:51:33
227,Araouane,18.9,-3.53,86.43,52,87,13.15,ML,2020-08-30 08:51:34
228,Lulea,65.58,22.15,60.8,59,84,4.7,SE,2020-08-30 08:51:34
229,Kutum,14.2,24.67,81.66,46,39,9.93,SD,2020-08-30 08:51:34
230,Abalak,58.13,68.59,81.07,52,56,5.82,RU,2020-08-30 08:51:34
231,Namibe,-15.2,12.15,64.4,72,2,8.66,AO,2020-08-30 08:51:34
232,Gat,31.61,34.76,93.99,54,0,3.0,IL,2020-08-30 08:51:35
233,Itaituba,-4.28,-55.98,71.17,97,2,2.75,BR,2020-08-30 08:51:35
234,Ticuantepe,12.02,-86.2,72.84,89,7,4.9,NI,2020-08-30 08:51:35
235,Diamantino,-14.41,-56.45,71.33,32,0,5.19,BR,2020-08-30 08:51:35
236,Berlevag,70.86,29.09,51.21,76,66,8.21,NO,2020-08-30 08:51:35
237,Los Llanos De Aridane,28.66,-17.92,75.2,69,20,20.8,ES,2020-08-30 08:51:36
238,Chicama,-7.84,-79.15,59.47,88,57,4.12,PE,2020-08-30 08:51:36
239,Bath,51.38,-2.36,54.0,73,3,5.01,GB,2020-08-30 08:51:36
240,Bakel,14.9,-12.46,81.03,80,100,11.25,SN,2020-08-30 08:51:36
241,Carauari,-4.88,-66.9,72.77,97,97,1.72,BR,2020-08-30 08:51:21
242,Novoagansk,61.94,76.66,68.38,63,94,4.9,RU,2020-08-30 08:51:37
243,Santa Cruz,-17.8,-63.17,72.0,51,0,4.88,BO,2020-08-30 08:49:28
244,Karasjok,69.47,25.51,55.4,62,40,4.7,NO,2020-08-30 08:51:37
245,Uruzgan,32.83,66.0,85.17,13,0,9.35,AF,2020-08-30 08:51:37
246,Batie,9.88,-2.92,74.52,82,100,9.4,BF,2020-08-30 08:51:38
247,Gimbi,9.17,35.83,69.84,83,96,1.59,ET,2020-08-30 08:51:38
248,Tiznit,29.58,-9.5,76.35,39,0,3.24,MA,2020-08-30 08:51:38
249,Kruisfontein,-34.0,24.73,55.0,62,97,5.99,ZA,2020-08-30 08:51:38
250,Verkhneuralsk,53.88,59.21,80.6,32,20,15.66,RU,2020-08-30 08:51:39
251,Ormara,25.21,64.64,86.77,63,77,19.01,PK,2020-08-30 08:51:39
252,Montes Altos,-5.83,-47.07,77.0,78,6,6.55,BR,2020-08-30 08:51:39
253,Pitkyaranta,61.57,31.48,53.8,78,99,13.65,RU,2020-08-30 08:51:39
254,Axim,4.87,-2.24,77.02,79,100,8.66,GH,2020-08-30 08:51:39
255,Beni Suef,29.07,31.1,99.37,23,0,14.03,EG,2020-08-30 08:51:40
256,Buraydah,26.33,43.98,100.4,19,0,2.24,SA,2020-08-30 08:51:04
257,Acara,-1.96,-48.2,70.66,99,39,2.77,BR,2020-08-30 08:47:09
258,Olafsvik,64.89,-23.71,52.99,93,100,20.83,IS,2020-08-30 08:51:40
259,Disna,55.57,28.2,69.06,64,46,6.64,BY,2020-08-30 08:51:40
260,Shurugwi,-19.67,30.01,84.85,19,1,6.73,ZW,2020-08-30 08:51:41
261,Padang,-0.95,100.35,83.66,74,100,3.89,ID,2020-08-30 08:51:41
262,Kattivakkam,13.22,80.32,95.0,50,75,9.17,IN,2020-08-30 08:48:18
263,Cap-Aux-Meules,47.38,-61.86,58.51,89,97,33.44,CA,2020-08-30 08:51:41
264,Yanam,16.73,82.22,91.4,63,40,6.93,IN,2020-08-30 08:51:41
265,Taltal,-25.4,-70.48,51.93,70,0,1.5,CL,2020-08-30 08:51:42
266,Carnarvon,-24.87,113.63,73.4,60,0,16.11,AU,2020-08-30 08:51:42
267,Dordrecht,51.81,4.67,64.99,91,44,1.99,NL,2020-08-30 08:51:42
268,Kavaratti,10.57,72.64,86.0,74,20,9.17,IN,2020-08-30 08:51:42
269,Lagos,6.58,3.75,80.6,83,40,3.36,NG,2020-08-30 08:51:42
270,Maceio,-9.67,-35.74,68.0,100,40,13.11,BR,2020-08-30 08:51:43
271,Tocopilla,-22.09,-70.2,56.64,66,57,2.77,CL,2020-08-30 08:51:43
272,Maua,-23.67,-46.46,66.99,68,0,2.24,BR,2020-08-30 08:51:43
273,Kabwe,-14.45,28.45,92.44,13,0,7.09,ZM,2020-08-30 08:51:43
274,Sao Jose Da Coroa Grande,-8.9,-35.15,74.98,83,29,13.22,BR,2020-08-30 08:51:44
275,Zahir Pir,28.81,70.52,102.85,28,86,7.81,PK,2020-08-30 08:51:44
276,Venado Tuerto,-33.75,-61.97,32.0,86,0,1.99,AR,2020-08-30 08:48:06
277,Abdulino,53.7,53.67,74.23,52,0,7.0,RU,2020-08-30 08:51:44
278,Kharagpur,22.33,87.33,94.33,52,83,5.37,IN,2020-08-30 08:51:44
279,Kudahuvadhoo,2.67,72.89,83.84,64,22,6.53,MV,2020-08-30 08:51:45
280,Keti Bandar,24.14,67.45,85.19,79,80,18.37,PK,2020-08-30 08:51:45
281,Havoysund,71.0,24.66,50.0,76,80,8.05,NO,2020-08-30 08:51:45
282,Aasiaat,68.71,-52.87,38.88,83,35,9.06,GL,2020-08-30 08:51:45
283,Vardo,70.37,31.11,51.4,77,30,9.37,NO,2020-08-30 08:51:45
284,Kangaatsiaq,68.31,-53.46,44.22,91,50,9.53,GL,2020-08-30 08:51:46
285,Tela,15.78,-87.45,76.68,78,0,4.18,HN,2020-08-30 08:51:46
286,Kasamwa,-2.85,32.43,86.97,34,0,7.14,TZ,2020-08-30 08:51:12
287,Pacasmayo,-7.4,-79.57,60.37,89,61,7.9,PE,2020-08-30 08:51:46
288,Boke,10.94,-14.3,78.08,88,79,5.44,GN,2020-08-30 08:51:47
289,Carinhanha,-14.3,-43.77,62.98,85,82,2.95,BR,2020-08-30 08:51:47
290,Ouadda,8.08,22.4,77.43,73,90,7.47,CF,2020-08-30 08:51:47
